Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
RS0023,No Description,0,5000,-5000,
RS021,No Description,0,4000,-4000,
RS0026,No Description,0,4000,-4000,
RS0024,No Description,0,3500,-3500,
RS020,No Description,0,2400,-2400,
RS019,No Description,0,2400,-2400,
RS002,No Description,0,2000,-2000,
RS0018,No Description,0,2000,-2000,
RS0025,No Description,0,1600,-1600,
RS0022,No Description,0,1500,-1500,
Labret8,Labret - 8mm,0,1316,-1316,
PK072,No Description,0,1000,-1000,
RS0029,No Description,0,800,-800,
RS031,No Description,0,505,-505,
RS003,No Description,0,500,-500,
Labret11,Labret - 11mm,0,375,-375,
Labret6,Labret- 6mm,0,345,-345,
Labret5,Labret - 5mm,0,302,-302,
RS0014,No Description,0,300,-300,
RS0028,No Description,0,300,-300,
Labret10,Labret - 10mm,0,266,-266,
RS0015,No Description,0,250,-250,
RS0016,No Description,0,250,-250,
RS006,No Description,0,100,-100,
RS007,No Description,0,80,-80,
RS005,No Description,0,80,-80,
RS071,No Description,0,80,-80,
PL008TH_8H,16G  Threadless  10mm Length  Daisy Labret,0,65,-65,
PL009TH_8D,16G  Threadless  10mm Length  Heart Labret,0,62,-62,
RS030,No Description,0,60,-60,
PK006,No Description,0,50,-50,
PK011,No Description,0,50,-50,
PK050F,No Description,0,45,-45,
PL009TH_6D,16G  Threadless  8mm Length  Heart Labret,0,45,-45,
PL008TH_6H,16G  Threadless  8mm Length  Daisy Labret,0,41,-41,
RS012,No Description,0,35,-35,
RS008,No Description,0,30,-30,
RS0017,No Description,0,30,-30,
FC021GCL_6,Bezel Clicker 6mm Front Facing,0,26,-26,
SALINE1,Saline Can,268,242,26,"[45, 50, 73]"
CH011GTQ,December Micro CZ Clicker Charm,0,23,-23,
FC021GCL_8,Bezel Clicker 8mm Front Facing,0,21,-21,
PK053,No Description,0,20,-20,
PL008TH_10H,16G  Threadless  6mm Length  Daisy Labret,0,20,-20,
PL009TH_10D,16G  Threadless  6mm Length  Heart Labret,0,20,-20,
RS009,No Description,0,19,-19,
FC021SCL_6,Bezel Clicker 6mm Front Facing,0,18,-18,
FC021SCL_8,Bezel Clicker 8mm Front Facing,0,16,-16,
PK063I,No Description,0,15,-15,
RS0012,No Description,0,12,-12,
PS123SPK,Titanium Trinity Pink,0,12,-12,
PS081SPL,Ti CZ Pearl 2.5mm,9,20,-11,"[30, 60]"
PK061T,No Description,0,10,-10,
RS0027,No Description,0,10,-10,
PK063,No Description,0,10,-10,
PK057,No Description,0,10,-10,
FC028SCL_8,Bezel Clicker 8mm,25,15,10,"[2, 33]"
PK051,No Description,0,9,-9,
FL001ST_6,6mm PVD Plated Labret  4mm Disc.,22,31,-9,"[5, 9]"
PS052SCL,Ti Bezel,55,63,-8,"[101, 30, 61]"
PB013S,Titanium Industrial Bar 42mm,5,12,-7,[65]
PK014,No Description,0,7,-7,
