Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
EAR-PL-THK,Plain Thick Ring,17,15,2,Piercing Station 2
EAR-CB-SQ,Cabochon Square,34,34,0,Display Case C
EAR-ST-HRT,Star Heart Charm,16,16,0,Display Case E
EAR-TI-GLD,Tiny Gold Studs,12,13,-1,Display Case A
EAR-CH-THR,Chain Threader,31,31,0,Back Stock
EAR-DG-OVL,Dangle Oval Drop,6,6,0,Display Case E
EAR-FL-GLD,Flat Back Gold Labret,33,33,0,Piercing Station 1
EAR-HG-SLV,Huggie Silver Hoops,17,17,0,Display Case B
EAR-TI-SLV,Tiny Silver Studs,6,6,0,Display Case D
EAR-PL-THN,Plain Thin Ring,27,30,-3,Piercing Station 1
EAR-OP-PNK,Opal Pink Cabochon,9,11,-2,Piercing Station 1
EAR-BZ-SLV,Bezel Set Silver,12,12,0,Display Case A
EAR-CZ-CLR,CZ Clear Round Stud,16,16,0,Piercing Station 2
EAR-OP-WHT,Opal White Cabochon,22,25,-3,Display Case C
EAR-ST-MN,Star Moon Charm,34,32,2,Wall Rack
EAR-CL-TRP,Cluster Triple Stack,17,21,-4,Wall Rack
EAR-DG-RND,Dangle Round Drop,3,7,-4,Display Case E
EAR-BZ-GLD,Bezel Set Gold,15,14,1,Display Case E
EAR-FL-SLV,Flat Back Silver Labret,8,6,2,Display Case B
EAR-HG-GLD,Huggie Gold Hoops,33,34,-1,Display Case A
