Product ID,SKU,Product Name,Options,Quantity,Price,Reference,Warehouse,Date,Movement ID
2194,PS083GCL,14K Marquise Clear,"14K Gold, Gold/Clear",-1,12.2800,SO#1938011,038 CA Valley Fair,2026-03-06 04:58:31,8036628
5239,Labret10,Labret - 10mm,,-2,0.3600,SO#1938005,032 CA Irvine Spectrum,2026-03-06 04:36:57,8036605
2190,PS081SCL,Ti CZ Clear 2.5mm,"Silver, Silver/Clear",-2,0.5800,SO#1938005,032 CA Irvine Spectrum,2026-03-06 04:36:57,8036604
2190,PS081SCL,Ti CZ Clear 2.5mm,"Silver, Silver/Clear",-1,0.5800,SO#1938002,032 CA Irvine Spectrum,2026-03-06 04:19:17,8036577
5682,FC017SCL_5,Pave Clicker 5mm,,-1,1.9500,SO#1937998,032 CA Irvine Spectrum,2026-03-06 04:11:40,8036568
5237,Labret6,Labret- 6mm,,-2,0.2800,SO#1937997,028 CA UTC San Diego,2026-03-06 04:11:38,8036567
5681,FC017GCL_5,Pave Clicker 5mm,,-1,1.8500,SO#1937997,028 CA UTC San Diego,2026-03-06 04:11:38,8036566
5238,Labret8,Labret - 8mm,,-1,0.3400,SO#1937996,033 CA Fashion Island,2026-03-06 04:06:54,8036565
1850,PS037S,Ti Heart,"Silver, Silver",-1,1.6000,SO#1937996,033 CA Fashion Island,2026-03-06 04:06:54,8036564
4425,PS181SCL,Ti Dangle Clear,,-1,3.7050,SO#1937995,038 CA Valley Fair,2026-03-06 04:05:53,8036563
5237,Labret6,Labret- 6mm,,-2,0.2800,SO#1937987,032 CA Irvine Spectrum,2026-03-06 03:56:31,8036552
2040,PS052SCL,Ti Bezel,"Silver, Silver/Clear",-1,0.8400,SO#1937987,032 CA Irvine Spectrum,2026-03-06 03:56:31,8036551
1786,PC004G,8mm Clicker,"Gold, Gold",-1,0.7100,"0#Inventory Movement ID: 8036550
Reason: Damaged - Contamination
Type: Inventory adjustment - out
Product ID: 1786 (PC004G)
User name: Isabella Maniaci",033 CA Fashion Island,2026-03-06 03:55:46,8036550
5241,Labret5,Labret - 5mm,,-3,0.3600,SO#1937986,006 CA Century City,2026-03-06 03:55:21,8036547
1364,SALINE1,Saline Can,,-1,3.5000,SO#1937985,042 CA Roseville,2026-03-06 03:51:58,8036542
1841,PS030S,Ti Moon,"Silver, Silver",-1,0.7200,SO#1937985,042 CA Roseville,2026-03-06 03:51:58,8036540
1852,PS038S,Ti Star,"Silver, Silver",-1,0.6400,SO#1937985,042 CA Roseville,2026-03-06 03:51:58,8036541
1364,SALINE1,Saline Can,,-1,3.5000,SO#1937984,042 CA Roseville,2026-03-06 03:51:56,8036539
5141,PS202SCL,Ti Stacked CZ Clear,,-1,2.2000,SO#1937984,042 CA Roseville,2026-03-06 03:51:56,8036538
4651,FC017SCL_6,Pave Clicker 6mm,,-1,1.7000,SO#1937983,006 CA Century City,2026-03-06 03:49:19,8036532
2188,PS081SAB,Ti CZ Aurora Borealis 2.5mm,"Silver, Silver/Aurora Boreale",-1,0.6900,SO#1937981,006 CA Century City,2026-03-06 03:44:20,8036513
1815,PS006S,Ti Ball,"Silver, Silver",-1,0.7300,SO#1937980,006 CA Century City,2026-03-06 03:44:18,8036512
1364,SALINE1,Saline Can,,-1,3.5000,SO#1937979,041 NV Grand Shoppes,2026-03-06 03:41:14,8036505
4416,PS177SCL,Ti Crown Clear,,-1,4.1800,SO#1937979,041 NV Grand Shoppes,2026-03-06 03:41:14,8036503
4425,PS181SCL,Ti Dangle Clear,,-1,3.7050,SO#1937979,041 NV Grand Shoppes,2026-03-06 03:41:14,8036504
1555,HU019G,Micro Chunky Huggie,"Gold, Gold",-2,2.1000,SO#1937978,006 CA Century City,2026-03-06 03:37:17,8036501
1364,SALINE1,Saline Can,,-1,3.5000,SO#1937977,028 CA UTC San Diego,2026-03-06 03:35:24,8036495
5143,PS202SPL,Ti Stacked CZ Pearl,,-1,2.1100,SO#1937976,038 CA Valley Fair,2026-03-06 03:35:14,8036494
1364,SALINE1,Saline Can,,-1,3.5000,SO#1937975,032 CA Irvine Spectrum,2026-03-06 03:33:55,8036493
2190,PS081SCL,Ti CZ Clear 2.5mm,"Silver, Silver/Clear",-2,0.5800,SO#1937975,032 CA Irvine Spectrum,2026-03-06 03:33:55,8036492
4204,FC009GT,6mm Double Clicker,Gold,-1,1.0300,SO#1937974,006 CA Century City,2026-03-06 03:31:54,8036490
3780,HU095G,Micro Slim Huggie,"Gold, Gold",-2,2.1000,SO#1937974,006 CA Century City,2026-03-06 03:31:54,8036489
5237,Labret6,Labret- 6mm,,-1,0.2800,SO#1937972,028 CA UTC San Diego,2026-03-06 03:31:52,8036488
1364,SALINE1,Saline Can,,-1,3.5000,SO#1937968,041 NV Grand Shoppes,2026-03-06 03:25:58,8036481
4416,PS177SCL,Ti Crown Clear,,-1,4.1800,SO#1937968,041 NV Grand Shoppes,2026-03-06 03:25:58,8036482
1788,PC005G,10mm Clicker,"Gold, Gold",-1,0.7100,SO#1937967,006 CA Century City,2026-03-06 03:25:56,8036479
4206,FC010GT,8mm Double Clicker,Gold,-1,1.0300,SO#1937967,006 CA Century City,2026-03-06 03:25:56,8036480
1364,SALINE1,Saline Can,,-1,3.5000,SO#1937966,041 NV Grand Shoppes,2026-03-06 03:25:54,8036478
4416,PS177SCL,Ti Crown Clear,,-1,4.1800,SO#1937966,041 NV Grand Shoppes,2026-03-06 03:25:54,8036477
5238,Labret8,Labret - 8mm,,-1,0.2800,SO#1937963,014 WA Capitol Hill,2026-03-06 03:16:09,8036459
4387,FT001T,Flatback Insertion Tool - Long Pin Taper,,-1,0.9000,SO#1937962,031 CA Westfield Topanga,2026-03-06 03:16:07,8036456
2140,HU052SCL,Micro Pav© Huggie,"Silver, Silver/Clear",-2,2.7000,SO#1937962,031 CA Westfield Topanga,2026-03-06 03:16:07,8036457
3781,HU095S,Micro Slim Huggie,"Silver, Silver",-2,2.1000,SO#1937962,031 CA Westfield Topanga,2026-03-06 03:16:07,8036455
4787,FB120SCL,Pear Cluster Flatback Stud,,-2,4.5500,SO#1937962,031 CA Westfield Topanga,2026-03-06 03:16:07,8036454
4779,FB118SCL,Pear Dangle Flatback Stud,,-2,2.3300,SO#1937962,031 CA Westfield Topanga,2026-03-06 03:16:07,8036458
4387,FT001T,Flatback Insertion Tool - Long Pin Taper,,-1,1.0000,SO#1937960,032 CA Irvine Spectrum,2026-03-06 03:16:05,8036453
4653,FC017SCL_8,Pave Clicker 8mm,,-1,1.9800,SO#1937959,032 CA Irvine Spectrum,2026-03-06 03:13:12,8036433
5237,Labret6,Labret- 6mm,,-1,0.2800,SO#1937958,006 CA Century City,2026-03-06 03:13:10,8036431
5166,PS204SCL,Ti Bar CZ Dangle,,-1,4.0300,SO#1937958,006 CA Century City,2026-03-06 03:13:10,8036432
4070,FC007ST,8mm Clicker- PVD Plated,,-2,0.7600,SO#1937957,006 CA Century City,2026-03-06 03:13:09,8036430
5237,Labret6,Labret- 6mm,,-3,0.2800,SO#1937955,014 WA Capitol Hill,2026-03-06 03:13:07,8036429
2517,PS137KCL,14K CZ Clear 2.5mm,Gold/Clear,-1,11.5300,SO#1937952,014 WA Capitol Hill,2026-03-06 03:12:58,8036428
